PG_ID,Location,Latitude,Longitude,Distance_From_Center_KM,Rent,Sharing,Gender,Meals_Per_Day,Weekend_Food,WiFi,AC,Laundry,Parking,Housekeeping,Lift,Security,CCTV,Power_Backup,Drinking_Water,Floors,Food_Type,Pets_Allowed,Visitors_Allowed,Smoking_Area,Curfew_Time,Available_From,Availability
1,vidyaranyapura,13.08,77.55,7.22,7174,Triple,Boys,2,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,4,Both,No,Yes,No,10:00 PM,21-04-2026,Available
2,vidyaranyapura,13.08,77.55,7.22,10555,Double,Girls,3,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,4,Veg,No,Yes,No,10:00 PM,11-05-2026,Available
3,bagalur,13.12,77.65,11.12,8888,Double,Boys,3,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,1,Both,Yes,No,Yes,No Curfew,26-04-2026,Available
4,jakkur,13.08,77.6,5.01,8613,Double,Boys,2,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,5,Both,No,Yes,No,9:00 PM,16-05-2026,Full
5,kammanahalli,13.02,77.635,4.53,10859,Double,Boys,3,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3,Both,No,Yes,Yes,10:00 PM,29-04-2026,Full
6,yelahanka,13.1,77.596,7.22,7099,Triple,Boys,3,No,No,No,Yes,No,No,No,No,No,No,Yes,3,Non-Veg,No,Yes,No,9:00 PM,27-04-2026,Full
7,thanisandra,13.05,77.62,3.05,15938,Single,Girls,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,3,Non-Veg,Yes,No,No,9:00 PM,09-05-2026,Full
8,vidyaranyapura,13.08,77.55,7.22,12157,Single,Boys,2,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,1,Veg,Yes,No,Yes,No Curfew,03-05-2026,Full
9,sahakar nagar,13.06,77.58,3.36,11864,Double,Co-ed,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1,Non-Veg,Yes,Yes,No,11:00 PM,23-04-2026,Full
10,jakkur,13.08,77.6,5.01,16280,Single,Co-ed,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,4,Both,Yes,Yes,Yes,9:00 PM,26-04-2026,Available
11,horamavu,13.03,77.67,8.12,11327,Single,Co-ed,2,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,2,Veg,No,Yes,No,No Curfew,10-05-2026,Full
12,vidyaranyapura,13.08,77.55,7.22,4488,Triple,Co-ed,2,No,No,No,Yes,No,Yes,No,No,No,No,Yes,1,Veg,No,Yes,No,No Curfew,20-05-2026,Available
13,kodigehalli,13.07,77.58,4.32,13548,Single,Boys,2,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,4,Non-Veg,No,Yes,No,10:00 PM,15-05-2026,Full
14,vidyaranyapura,13.08,77.55,7.22,11961,Single,Co-ed,2,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,1,Veg,No,Yes,No,9:00 PM,12-05-2026,Full
15,nagawara,13.04,77.62,2.61,7446,Triple,Girls,3,Yes,No,No,No,No,No,No,No,No,No,Yes,3,Both,No,No,Yes,9:00 PM,02-05-2026,Full
16,kammanahalli,13.02,77.635,4.53,7243,Double,Boys,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,1,Veg,No,Yes,No,11:00 PM,12-05-2026,Available
17,bagalur,13.12,77.65,11.12,6569,Double,Co-ed,2,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,5,Non-Veg,Yes,Yes,Yes,9:00 PM,14-05-2026,Full
18,rt nagar,13.022,77.594,1.48,4524,Triple,Girls,3,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,3,Veg,No,Yes,Yes,10:00 PM,16-05-2026,Available
19,horamavu,13.03,77.67,8.12,16509,Single,Co-ed,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,3,Non-Veg,No,No,No,No Curfew,18-05-2026,Available
20,thanisandra,13.05,77.62,3.05,11225,Double,Co-ed,2,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,1,Non-Veg,No,Yes,Yes,10:00 PM,15-05-2026,Full
